,threshold,precision,recall,fscore,support
0,0.0,0.008383327327680667,1.0,0.01662726286817404,
1,0.1,0.009053100985480829,0.9940262633882754,0.017942787907500226,
2,0.2,0.029740330365032968,0.7675681365626015,0.05726197803218966,
3,0.30000000000000004,0.11171587106611885,0.4164510215001886,0.17617230189197364,
4,0.4,0.30234605624320265,0.15363292660461933,0.20373881786349937,
5,0.5,0.5330106485963214,0.024149334643286346,0.046205229767379404,
6,0.6000000000000001,0.6288244766505636,0.006850937288923587,0.013554203798995149,
7,0.7000000000000001,0.675392670157068,0.0011315888735866104,0.002259392241001839,
8,0.8,0.0,0.0,0.0,
9,0.9,0.0,0.0,0.0,
