,threshold,precision,recall,fscore,support
0,0.0,0.008392813807608304,1.0,0.016645921495449235,
1,0.1,0.030268669090532243,0.9213076545632973,0.058611707402454576,
2,0.2,0.0735168136786875,0.7353935931585588,0.13367065947419807,
3,0.30000000000000004,0.14184025781129564,0.5079034067012477,0.22175252821830188,
4,0.4,0.2306128177567214,0.2951422963689892,0.25891748753800087,
5,0.5,0.3394048585400622,0.15020853778213936,0.20825209400074102,
6,0.6000000000000001,0.49124898061602157,0.06861593999719613,0.12041301155540521,
7,0.7000000000000001,0.6279160186625194,0.028301556147483527,0.05416191562143672,
8,0.8,0.7851790174854288,0.008262652460395346,0.016353215583244457,
9,0.9,1.0,7.885882517874667e-05,0.00015770521390959987,
