,threshold,precision,recall,fscore,support
0,0.0,0.008440172668642405,1.0,0.016739064740562873,
1,0.1,0.031026192772872302,0.9108057714425121,0.060008231865355616,
2,0.2,0.07395030510965045,0.7226501237235563,0.13417064616738494,
3,0.30000000000000004,0.139870717612706,0.4979088976405395,0.2183916611730536,
4,0.4,0.2243555808934316,0.28802321123619,0.25223376088266936,
5,0.5,0.30535673258752627,0.15054194402816018,0.20166321379592075,
6,0.6000000000000001,0.415203271590089,0.07519255567560032,0.12732651209454326,
7,0.7000000000000001,0.5739517518667433,0.034825567211515,0.06566668857199186,
8,0.8,0.7498792853693867,0.013531174851008958,0.026582679321825013,
9,0.9,0.9148936170212766,0.00037465583940333877,0.0007490049556258111,
