,threshold,precision,recall,fscore,support
0,0.0,0.008483560445055632,1.0,0.016824390159244116,
1,0.1,0.030597408257116227,0.9299509370503285,0.059245510377531986,
2,0.2,0.07190088289486737,0.766500234045873,0.13146939443048514,
3,0.30000000000000004,0.14890964541683285,0.540481267661795,0.23348980207048023,
4,0.4,0.2688714021335179,0.309807388914894,0.2878914808609357,
5,0.5,0.4142460640283294,0.15007541478129713,0.220328845223854,
6,0.6000000000000001,0.5593896173606319,0.06323572753593037,0.11362662866132413,
7,0.7000000000000001,0.7006134969325153,0.024748183977392903,0.04780763080117552,
8,0.8,0.8171557562076749,0.006275896742428183,0.01245612827747574,
9,0.9,0.7857142857142857,0.0002860560669891299,0.0005719039201414162,
