,threshold,precision,recall,fscore,support
0,0.0,0.008426273872469353,1.0,0.01671173012998069,
1,0.1,0.009174535171683615,0.993716345356641,0.018181211412249786,
2,0.2,0.02923336713688328,0.7738582512240035,0.05633848455823839,
3,0.30000000000000004,0.10970228909027867,0.4224710471885009,0.17417648646217504,
4,0.4,0.2743156831949742,0.1707234057408167,0.21046289572070254,
5,0.5,0.5099407045692361,0.038277929535795015,0.0712105468242629,
6,0.6000000000000001,0.7160751565762005,0.0029934632537112833,0.005962003093984113,
7,0.7000000000000001,1.0,1.7454596231552675e-05,3.490858314788149e-05,
8,0.8,0.0,0.0,0.0,
9,0.9,0.0,0.0,0.0,
